Index,m:s.ms.us,Dur,Len,Err,PID,CRC,Packet,Packet Data
0,00:07.661.995,0.12 us,,,SETUP,02,DEV = 00 EP = 00,2D 00 10
1,00:07.661.995,0.25 us,8,,DATA0,94DD,GET_DESCRIPTOR [ DEVICE ] ,C3 80 06 00 01 00 00 40 00 DD 94
2,00:07.661.996,0.08 us,,,ACK,,,D2
3,00:07.661.998,99.65 us,,,,,[5 IN/NAK],
4,00:07.662.123,103.93 us,,,,,[5 IN/NAK],
5,00:07.662.253,78.00 us,,,,,[4 IN/NAK],
6,00:07.662.361,99.83 us,,,,,[5 IN/NAK],
7,00:07.662.487,52.05 us,,,,,[3 IN/NAK],
8,00:07.662.565,0.12 us,,,IN,02,DEV = 00 EP = 80,69 00 10
9,00:07.662.565,0.42 us,18,,DATA1,213B,12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01,4B 12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01 3B 21
10,00:07.662.566,0.08 us,,,ACK,,,D2
11,00:07.662.573,0.12 us,,,OUT,02,DEV = 00 EP = 00,E1 00 10
12,00:07.662.573,0.12 us,0,,DATA1,,,4B 00 00
13,00:07.662.574,0.08 us,,,NAK,,,5A
14,00:07.663.608,0.12 us,,,OUT,02,DEV = 00 EP = 00,E1 00 10
15,00:07.663.609,0.12 us,0,,DATA1,,,4B 00 00
16,00:07.663.609,0.08 us,,,ACK,,,D2
17,00:07.754.808,0.10 us,,,SETUP,02,DEV = 00 EP = 00,2D 00 10
18,00:07.754.808,0.23 us,8,,DATA0,0BEA,SET_ADDRESS,C3 00 05 0F 00 00 00 00 00 EA 0B
19,00:07.754.809,0.07 us,,,ACK,,,D2
20,00:07.754.810,0.10 us,,,IN,02,DEV = 00 EP = 80,69 00 10
21,00:07.754.810,0.10 us,0,,DATA1,,,4B 00 00
22,00:07.754.810,0.07 us,,,ACK,,,D2
23,00:07.772.805,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
24,00:07.772.805,0.23 us,8,,DATA0,F4E0,GET_DESCRIPTOR [ DEVICE ] ,C3 80 06 00 01 00 00 12 00 E0 F4
25,00:07.772.805,0.07 us,,,ACK,,,D2
26,00:07.772.807,0.53 us,,,,,[1 IN/NAK],
27,00:07.772.834,98.87 us,,,,,[5 IN/NAK],
28,00:07.772.959,103.70 us,,,,,[5 IN/NAK],
29,00:07.773.088,103.97 us,,,,,[5 IN/NAK],
30,00:07.773.218,103.90 us,,,,,[5 IN/NAK],
31,00:07.773.348,78.00 us,,,,,[4 IN/NAK],
32,00:07.773.458,0.52 us,,,,,[1 IN/NAK],
33,00:07.773.479,0.10 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
34,00:07.773.479,0.42 us,18,,DATA1,213B,12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01,4B 12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01 3B 21
35,00:07.773.480,0.07 us,,,ACK,,,D2
36,00:07.773.482,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
37,00:07.773.482,0.10 us,0,,DATA1,,,4B 00 00
38,00:07.773.483,0.08 us,,,NAK,,,5A
39,00:07.774.498,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
40,00:07.774.498,0.10 us,0,,DATA1,,,4B 00 00
41,00:07.774.499,0.08 us,,,ACK,,,D2
42,00:07.774.904,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
43,00:07.774.905,0.23 us,8,,DATA0,A4E9,GET_DESCRIPTOR [ CONFIGURATION ] ,C3 80 06 00 02 00 00 FF 00 E9 A4
44,00:07.774.905,0.08 us,,,ACK,,,D2
45,00:07.774.907,21.38 us,,,,,[2 IN/NAK],
46,00:07.774.956,103.63 us,,,,,[5 IN/NAK],
47,00:07.775.085,103.95 us,,,,,[5 IN/NAK],
48,00:07.775.215,103.95 us,,,,,[5 IN/NAK],
49,00:07.775.345,77.97 us,,,,,[4 IN/NAK],
50,00:07.775.454,98.87 us,,,,,[5 IN/NAK],
51,00:07.775.579,98.67 us,,,,,[5 IN/NAK],
52,00:07.775.704,111.88 us,,,,,[5 IN/NAK],
53,00:07.775.842,103.98 us,,,,,[5 IN/NAK],
54,00:07.775.971,77.93 us,,,,,[4 IN/NAK],
55,00:07.776.078,103.70 us,,,,,[5 IN/NAK],
56,00:07.776.208,103.97 us,,,,,[5 IN/NAK],
57,00:07.776.338,103.93 us,,,,,[5 IN/NAK],
58,00:07.776.467,78.00 us,,,,,[4 IN/NAK],
59,00:07.776.577,0.10 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
60,00:07.776.578,0.63 us,32,,DATA1,4FB7,09 02 20 00 01 01 00 C0 31 09 04 00 00 02 07 01 02 00 07 05 01 02 00 02 00 07 05 81 02 00 02 00,4B 09 02 20 00 01 01 00 C0 31 09 04 00 00 02 07 01 02 00 07 05 01 02 00 02 00 07 05 81 02 00 02 00 B7 4F
61,00:07.776.579,0.07 us,,,ACK,,,D2
62,00:07.776.581,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
63,00:07.776.581,0.10 us,0,,DATA1,,,4B 00 00
64,00:07.776.582,0.08 us,,,NAK,,,5A
65,00:07.777.597,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
66,00:07.777.597,0.10 us,0,,DATA1,,,4B 00 00
67,00:07.777.597,0.08 us,,,ACK,,,D2
68,00:07.778.397,0.12 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
69,00:07.778.398,0.25 us,8,,DATA0,64D4,GET_DESCRIPTOR [ STRING ] ,C3 80 06 00 03 00 00 FF 00 D4 64
70,00:07.778.398,0.08 us,,,ACK,,,D2
71,00:07.778.400,21.75 us,,,,,[2 IN/NAK],
72,00:07.778.450,103.67 us,,,,,[5 IN/NAK],
73,00:07.778.579,98.97 us,,,,,[5 IN/NAK],
74,00:07.778.700,110.85 us,,,,,[5 IN/NAK],
75,00:07.778.837,103.93 us,,,,,[5 IN/NAK],
76,00:07.778.967,78.00 us,,,,,[4 IN/NAK],
77,00:07.779.074,103.70 us,,,,,[5 IN/NAK],
78,00:07.779.203,103.93 us,,,,,[5 IN/NAK],
79,00:07.779.333,103.92 us,,,,,[5 IN/NAK],
80,00:07.779.463,78.00 us,,,,,[4 IN/NAK],
81,00:07.779.573,46.97 us,,,,,[3 IN/NAK],
82,00:07.779.645,0.10 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
83,00:07.779.646,0.17 us,4,,DATA1,7809,04 03 09 04,4B 04 03 09 04 09 78
84,00:07.779.646,0.07 us,,,ACK,,,D2
85,00:07.779.649,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
86,00:07.779.649,0.10 us,0,,DATA1,,,4B 00 00
87,00:07.779.649,0.07 us,,,NAK,,,5A
88,00:07.780.670,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
89,00:07.780.670,0.10 us,0,,DATA1,,,4B 00 00
90,00:07.780.671,0.07 us,,,ACK,,,D2
91,00:07.780.766,0.12 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
92,00:07.780.767,0.25 us,8,,DATA0,DB97,GET_DESCRIPTOR [ STRING ] ,C3 80 06 02 03 09 04 FF 00 97 DB
93,00:07.780.767,0.08 us,,,ACK,,,D2
94,00:07.780.769,21.07 us,,,,,[2 IN/NAK],
95,00:07.780.820,99.85 us,,,,,[5 IN/NAK],
96,00:07.780.946,103.97 us,,,,,[5 IN/NAK],
97,00:07.781.076,103.92 us,,,,,[5 IN/NAK],
98,00:07.781.205,103.92 us,,,,,[5 IN/NAK],
99,00:07.781.335,78.02 us,,,,,[4 IN/NAK],
100,00:07.781.444,98.85 us,,,,,[5 IN/NAK],
101,00:07.781.569,98.67 us,,,,,[5 IN/NAK],
102,00:07.781.693,111.88 us,,,,,[5 IN/NAK],
103,00:07.781.831,103.95 us,,,,,[5 IN/NAK],
104,00:07.781.961,78.00 us,,,,,[4 IN/NAK],
105,00:07.782.068,103.65 us,,,,,[5 IN/NAK],
106,00:07.782.197,103.93 us,,,,,[5 IN/NAK],
107,00:07.782.327,103.98 us,,,,,[5 IN/NAK],
108,00:07.782.457,77.98 us,,,,,[4 IN/NAK],
109,00:07.782.567,98.87 us,,,,,[5 IN/NAK],
110,00:07.782.692,33.98 us,,,,,[2 IN/NAK],
111,00:07.782.752,0.12 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
112,00:07.782.752,0.67 us,34,,DATA1,5D9D,22 03 48 00 50 00 20 00 4C 00 61 00 73 00 65 00 72 00 4A 00 65 00 74 00 20 00 31 00 30 00 32 00 30 00,4B 22 03 48 00 50 00 20 00 4C 00 61 00 73 00 65 00 72 00 4A 00 65 00 74 00 20 00 31 00 30 00 32 00 30 00 9D 5D
113,00:07.782.753,0.08 us,,,ACK,,,D2
114,00:07.782.755,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
115,00:07.782.755,0.12 us,0,,DATA1,,,4B 00 00
116,00:07.782.756,0.07 us,,,NAK,,,5A
117,00:07.783.777,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
118,00:07.783.777,0.12 us,0,,DATA1,,,4B 00 00
119,00:07.783.778,0.07 us,,,ACK,,,D2
120,00:07.783.849,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
121,00:07.783.849,0.23 us,8,,DATA0,0A96,GET_DESCRIPTOR [ STRING ] ,C3 80 06 03 03 09 04 FF 00 96 0A
122,00:07.783.850,0.08 us,,,ACK,,,D2
123,00:07.783.852,73.48 us,,,,,[4 IN/NAK],
124,00:07.783.951,103.93 us,,,,,[5 IN/NAK],
125,00:07.784.081,78.02 us,,,,,[4 IN/NAK],
126,00:07.784.189,99.83 us,,,,,[5 IN/NAK],
127,00:07.784.314,103.95 us,,,,,[5 IN/NAK],
128,00:07.784.444,103.95 us,,,,,[5 IN/NAK],
129,00:07.784.574,98.95 us,,,,,[5 IN/NAK],
130,00:07.784.694,105.95 us,,,,,[5 IN/NAK],
131,00:07.784.825,103.97 us,,,,,[5 IN/NAK],
132,00:07.784.955,77.97 us,,,,,[4 IN/NAK],
133,00:07.785.062,103.68 us,,,,,[5 IN/NAK],
134,00:07.785.192,103.97 us,,,,,[5 IN/NAK],
135,00:07.785.321,103.95 us,,,,,[5 IN/NAK],
136,00:07.785.451,78.00 us,,,,,[4 IN/NAK],
137,00:07.785.561,98.87 us,,,,,[5 IN/NAK],
138,00:07.785.686,111.83 us,,,,,[5 IN/NAK],
139,00:07.785.823,0.12 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
140,00:07.785.824,0.38 us,16,,DATA1,6AA3,10 03 53 00 34 00 32 00 4D 00 54 00 59 00 4E 00,4B 10 03 53 00 34 00 32 00 4D 00 54 00 59 00 4E 00 A3 6A
141,00:07.785.825,0.08 us,,,ACK,,,D2
142,00:07.785.832,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
143,00:07.785.832,0.12 us,0,,DATA1,,,4B 00 00
144,00:07.785.832,0.08 us,,,NAK,,,5A
145,00:07.786.849,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
146,00:07.786.849,0.12 us,0,,DATA1,,,4B 00 00
147,00:07.786.850,0.07 us,,,ACK,,,D2
148,00:07.825.722,0.12 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
149,00:07.825.722,0.25 us,8,,DATA0,C46F,GET_DESCRIPTOR [ CONFIGURATION ] ,C3 80 06 00 02 00 00 09 01 6F C4
150,00:07.825.723,0.08 us,,,ACK,,,D2
151,00:07.825.725,47.57 us,,,,,[3 IN/NAK],
152,00:07.825.799,51.77 us,,,,,[3 IN/NAK],
153,00:07.825.877,0.12 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
154,00:07.825.877,0.65 us,32,,DATA1,4FB7,09 02 20 00 01 01 00 C0 31 09 04 00 00 02 07 01 02 00 07 05 01 02 00 02 00 07 05 81 02 00 02 00,4B 09 02 20 00 01 01 00 C0 31 09 04 00 00 02 07 01 02 00 07 05 01 02 00 02 00 07 05 81 02 00 02 00 B7 4F
155,00:07.825.878,0.08 us,,,ACK,,,D2
156,00:07.825.880,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
157,00:07.825.880,0.12 us,0,,DATA1,,,4B 00 00
158,00:07.825.881,0.08 us,,,NAK,,,5A
159,00:07.826.916,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
160,00:07.826.916,0.12 us,0,,DATA1,,,4B 00 00
161,00:07.826.916,0.08 us,,,ACK,,,D2
162,00:07.831.218,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
163,00:07.831.218,0.23 us,8,,DATA0,2527,SET_CONFIGURATION,C3 00 09 01 00 00 00 00 00 27 25
164,00:07.831.218,0.08 us,,,ACK,,,D2
165,00:07.831.220,0.10 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
166,00:07.831.221,0.12 us,0,,DATA1,,,4B 00 00
167,00:07.831.221,0.07 us,,,ACK,,,D2
168,00:07.856.713,0.12 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
169,00:07.856.714,0.25 us,8,,DATA0,F4E0,GET_DESCRIPTOR [ DEVICE ] ,C3 80 06 00 01 00 00 12 00 E0 F4
170,00:07.856.714,0.07 us,,,ACK,,,D2
171,00:07.856.716,47.67 us,,,,,[3 IN/NAK],
172,00:07.856.790,103.70 us,,,,,[5 IN/NAK],
173,00:07.856.919,103.93 us,,,,,[5 IN/NAK],
174,00:07.857.049,103.97 us,,,,,[5 IN/NAK],
175,00:07.857.179,78.00 us,,,,,[4 IN/NAK],
176,00:07.857.289,98.83 us,,,,,[5 IN/NAK],
177,00:07.857.414,103.68 us,,,,,[5 IN/NAK],
178,00:07.857.543,98.97 us,,,,,[5 IN/NAK],
179,00:07.857.665,32.10 us,,,,,[2 IN/NAK],
180,00:07.857.723,0.12 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
181,00:07.857.723,0.40 us,18,,DATA1,213B,12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01,4B 12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01 3B 21
182,00:07.857.724,0.08 us,,,ACK,,,D2
183,00:07.857.726,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
184,00:07.857.726,0.12 us,0,,DATA1,,,4B 00 00
185,00:07.857.727,0.07 us,,,NAK,,,5A
186,00:07.858.748,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
187,00:07.858.749,0.12 us,0,,DATA1,,,4B 00 00
188,00:07.858.749,0.08 us,,,ACK,,,D2
189,00:07.858.816,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
190,00:07.858.816,0.23 us,8,,DATA0,D171,Class Define,C3 A1 00 00 00 00 00 F1 03 71 D1
191,00:07.858.817,0.07 us,,,ACK,,,D2
192,00:07.858.819,72.95 us,,,,,[4 IN/NAK],
193,00:07.858.918,103.95 us,,,,,[5 IN/NAK],
194,00:07.859.047,103.92 us,,,,,[5 IN/NAK],
195,00:07.859.177,78.00 us,,,,,[4 IN/NAK],
196,00:07.859.285,103.65 us,,,,,[5 IN/NAK],
197,00:07.859.415,103.95 us,,,,,[5 IN/NAK],
198,00:07.859.544,98.95 us,,,,,[5 IN/NAK],
199,00:07.859.664,106.97 us,,,,,[5 IN/NAK],
200,00:07.859.797,103.95 us,,,,,[5 IN/NAK],
201,00:07.859.927,78.00 us,,,,,[4 IN/NAK],
202,00:07.860.034,103.63 us,,,,,[5 IN/NAK],
203,00:07.860.163,103.95 us,,,,,[5 IN/NAK],
204,00:07.860.293,103.98 us,,,,,[5 IN/NAK],
205,00:07.860.423,77.98 us,,,,,[4 IN/NAK],
206,00:07.860.533,98.88 us,,,,,[5 IN/NAK],
207,00:07.860.657,111.88 us,,,,,[5 IN/NAK],
208,00:07.860.795,0.53 us,,,,,[1 IN/NAK],
209,00:07.860.821,0.10 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
210,00:07.860.821,1.17 us,64,,DATA1,AE66,00 54 4D 46 47 3A 48 65 77 6C 65 74 74 2D 50 61 63 6B 61 72 64 3B 4D 44 4C 3A 48 50 20 4C 61 73 65 72 4A 65 74 20 31 30 32 30 3B 43 4D 44 3A 41 43 4C 3B 43 4C 53 3A 50 52 49 4E 54 45 52 3B 44,4B 00 54 4D 46 47 3A 48 65 77 6C 65 74 74 2D 50 61 63 6B 61 72 64 3B 4D 44 4C 3A 48 50 20 4C 61 73 65 72 4A 65 74 20 31 30 32 30 3B 43 4D 44 3A 41 43 4C 3B 43 4C 53 3A 50 52 49 4E 54 45 52 3B 44 66 AE
211,00:07.860.823,0.07 us,,,ACK,,,D2
212,00:07.860.824,0.10 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
213,00:07.860.825,0.43 us,20,,DATA0,E0F1,45 53 3A 48 50 20 4C 61 73 65 72 4A 65 74 20 31 30 32 30 3B,C3 45 53 3A 48 50 20 4C 61 73 65 72 4A 65 74 20 31 30 32 30 3B F1 E0
214,00:07.860.825,0.07 us,,,ACK,,,D2
215,00:07.860.827,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
216,00:07.860.828,0.10 us,0,,DATA1,,,4B 00 00
217,00:07.860.828,0.07 us,,,NAK,,,5A
218,00:07.861.846,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
219,00:07.861.847,0.10 us,0,,DATA1,,,4B 00 00
220,00:07.861.847,0.08 us,,,ACK,,,D2
221,00:09.065.357,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
222,00:09.065.357,0.23 us,8,,DATA0,04AE,GET_DESCRIPTOR [ CONFIGURATION ] ,C3 80 06 00 02 00 00 09 00 AE 04
223,00:09.065.358,0.07 us,,,ACK,,,D2
224,00:09.065.360,0.50 us,,,,,[1 IN/NAK],
225,00:09.065.381,104.95 us,,,,,[5 IN/NAK],
226,00:09.065.512,103.95 us,,,,,[5 IN/NAK],
227,00:09.065.642,78.00 us,,,,,[4 IN/NAK],
228,00:09.065.749,103.67 us,,,,,[5 IN/NAK],
229,00:09.065.878,103.97 us,,,,,[5 IN/NAK],
230,00:09.066.008,103.95 us,,,,,[5 IN/NAK],
231,00:09.066.138,78.00 us,,,,,[4 IN/NAK],
232,00:09.066.248,20.98 us,,,,,[2 IN/NAK],
233,00:09.066.295,0.12 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
234,00:09.066.295,0.25 us,9,,DATA1,AC92,09 02 20 00 01 01 00 C0 31,4B 09 02 20 00 01 01 00 C0 31 92 AC
235,00:09.066.296,0.08 us,,,ACK,,,D2
236,00:09.066.299,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
237,00:09.066.299,0.12 us,0,,DATA1,,,4B 00 00
238,00:09.066.300,0.07 us,,,NAK,,,5A
239,00:09.067.319,0.12 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
240,00:09.067.319,0.12 us,0,,DATA1,,,4B 00 00
241,00:09.067.320,0.07 us,,,ACK,,,D2
242,00:09.068.393,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
243,00:09.068.393,0.23 us,8,,DATA0,94B1,GET_DESCRIPTOR [ CONFIGURATION ] ,C3 80 06 00 02 00 00 20 00 B1 94
244,00:09.068.393,0.08 us,,,ACK,,,D2
245,00:09.068.395,73.02 us,,,,,[4 IN/NAK],
246,00:09.068.495,103.67 us,,,,,[5 IN/NAK],
247,00:09.068.625,103.97 us,,,,,[5 IN/NAK],
248,00:09.068.755,103.95 us,,,,,[5 IN/NAK],
249,00:09.068.884,77.97 us,,,,,[4 IN/NAK],
250,00:09.068.994,98.87 us,,,,,[5 IN/NAK],
251,00:09.069.119,103.68 us,,,,,[5 IN/NAK],
252,00:09.069.249,98.93 us,,,,,[5 IN/NAK],
253,00:09.069.369,0.55 us,,,,,[1 IN/NAK],
254,00:09.069.402,0.12 us,,,IN,03,DEV = 0F EP = 80,69 0F 18
255,00:09.069.403,0.65 us,32,,DATA1,4FB7,09 02 20 00 01 01 00 C0 31 09 04 00 00 02 07 01 02 00 07 05 01 02 00 02 00 07 05 81 02 00 02 00,4B 09 02 20 00 01 01 00 C0 31 09 04 00 00 02 07 01 02 00 07 05 01 02 00 02 00 07 05 81 02 00 02 00 B7 4F
256,00:09.069.404,0.07 us,,,ACK,,,D2
257,00:09.069.406,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
258,00:09.069.406,0.10 us,0,,DATA1,,,4B 00 00
259,00:09.069.407,0.07 us,,,NAK,,,5A
260,00:09.070.428,0.10 us,,,OUT,03,DEV = 0F EP = 00,E1 0F 18
261,00:09.070.428,0.10 us,0,,DATA1,,,4B 00 00
262,00:09.070.429,0.07 us,,,ACK,,,D2
263,00:12.627.510,0.10 us,,,OUT,15,DEV = 0F EP = 01,E1 8F A8
264,00:12.627.511,0.67 us,34,,DATA0,A7AB,1B 25 2D 31 32 33 34 35 58 40 50 4A 4C 20 45 4E 54 45 52 20 4C 41 4E 47 55 41 47 45 3D 41 43 4C 0D 0A,C3 1B 25 2D 31 32 33 34 35 58 40 50 4A 4C 20 45 4E 54 45 52 20 4C 41 4E 47 55 41 47 45 3D 41 43 4C 0D 0A AB A7
265,00:12.627.512,0.08 us,,,ACK,,,D2
266,00:12.627.543,0.10 us,,,OUT,15,DEV = 0F EP = 01,E1 8F A8
267,00:12.627.543,0.37 us,16,,DATA1,F3EF,00 AC 00 01 00 00 00 00 00 00 00 00 00 00 00 00,4B 00 AC 00 01 00 00 00 00 00 00 00 00 00 00 00 00 EF F3
268,00:12.627.544,0.08 us,,,ACK,,,D2
269,00:13.127.887,0.53 us,,,,,[1 IN/NAK],
270,00:13.127.908,0.12 us,,,IN,15,DEV = 0F EP = 81,69 8F A8
271,00:13.127.909,0.37 us,16,,DATA0,F1B5,00 AC 00 01 00 01 00 00 00 00 00 00 00 00 2B 17,C3 00 AC 00 01 00 01 00 00 00 00 00 00 00 00 2B 17 B5 F1
272,00:13.127.910,0.08 us,,,ACK,,,D2
273,00:13.128.066,0.12 us,,,OUT,15,DEV = 0F EP = 01,E1 8F A8
274,00:13.128.066,0.27 us,9,,DATA0,1F11,1B 25 2D 31 32 33 34 35 58,C3 1B 25 2D 31 32 33 34 35 58 11 1F
275,00:13.128.067,0.08 us,,,ACK,,,D2
276,00:13.128.427,0.12 us,,,OUT,15,DEV = 0F EP = 01,E1 8F A8
277,00:13.128.428,0.92 us,48,,DATA1,189B,1B 25 2D 31 32 33 34 35 58 40 50 4A 4C 20 45 4E 54 45 52 20 4C 41 4E 47 55 41 47 45 3D 41 43 4C 0D 0A 00 AC C0 DE 00 01 F7 2C 32 30 30 35 31 30,4B 1B 25 2D 31 32 33 34 35 58 40 50 4A 4C 20 45 4E 54 45 52 20 4C 41 4E 47 55 41 47 45 3D 41 43 4C 0D 0A 00 AC C0 DE 00 01 F7 2C 32 30 30 35 31 30 9B 18
278,00:13.128.429,0.08 us,,,ACK,,,D2
279,00:13.128.587,0.12 us,,,OUT,15,DEV = 0F EP = 01,E1 8F A8
280,00:13.128.587,8.65 us,512,,DATA0,4054,32 38 7F 45 4C 46 01 02 01 00 00 00 00 00 00 00 00 00 00 02 AB C7 00 00 00 01 10 01 69 20 00 00 00 34 00 01 F1 10 00 00 03 00 00 34 00 20 00 0B 00 28 00 27 00 26 00 00 00 01 00 00 01 94 10 00 00 00 10 00 00 00 00 00 01 80 00 00 01 80 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 14 10 00 01 80 10 00 01 80 00 00 00 04 00 00 00 04 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 18 10 00 02 00 10 00 02 00 00 00 00 1C 00 00 00 1C 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 34 10 00 02 1C 10 00 02 1C 00 00 00 04 00 00 00 04 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 38 10 00 02 20 10 00 02 20 00 00 00 1C 00 00 00 1C 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 54 10 00 02 70 10 00 02 70 00 00 00 E0 00 00 00 E0 00 00 00 05 00 00 00 01 00 00 00 01 00 00 04 34 10 00 03 70 10 00 03 70 00 00 01 2C 00 00 01 2C 00 00 00 06 00 00 00 01 00 00 00 01 00 00 05 60 10 00 30 00 10 00 30 00 00 01 A7 F0 00 03 23 D0 00 00 00 07 00 00 00 01 00 00 00 01 00 01 AD 50 10 10 00 20 10 10 00 20 00 00 02 E0 00 00 02 E0 00 00 00 05 00 00 00 01 00 00 00 01 00 01 B0 30 10 10 03 00 10 10 03 00 00 00 00 04 00 00 00 04 00 00 00 05 00 00 00 01 00 00 00 01 00 01 B0 34 10 10 03 20 10 10 03 20 00 00 00 0C 00 00 00 0C 00 00 00 05 00 00 00 01 00 5C 94 01 5D 94 02 5E 94 03 5F 94 00 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5C 90 01 5D 90 02 5E 90 03 5F 90 00 53 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,C3 32 38 7F 45 4C 46 01 02 01 00 00 00 00 00 00 00 00 00 00 02 AB C7 00 00 00 01 10 01 69 20 00 00 00 34 00 01 F1 10 00 00 03 00 00 34 00 20 00 0B 00 28 00 27 00 26 00 00 00 01 00 00 01 94 10 00 00 00 10 00 00 00 00 00 01 80 00 00 01 80 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 14 10 00 01 80 10 00 01 80 00 00 00 04 00 00 00 04 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 18 10 00 02 00 10 00 02 00 00 00 00 1C 00 00 00 1C 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 34 10 00 02 1C 10 00 02 1C 00 00 00 04 00 00 00 04 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 38 10 00 02 20 10 00 02 20 00 00 00 1C 00 00 00 1C 00 00 00 05 00 00 00 01 00 00 00 01 00 00 03 54 10 00 02 70 10 00 02 70 00 00 00 E0 00 00 00 E0 00 00 00 05 00 00 00 01 00 00 00 01 00 00 04 34 10 00 03 70 10 00 03 70 00 00 01 2C 00 00 01 2C 00 00 00 06 00 00 00 01 00 00 00 01 00 00 05 60 10 00 30 00 10 00 30 00 00 01 A7 F0 00 03 23 D0 00 00 00 07 00 00 00 01 00 00 00 01 00 01 AD 50 10 10 00 20 10 10 00 20 00 00 02 E0 00 00 02 E0 00 00 00 05 00 00 00 01 00 00 00 01 00 01 B0 30 10 10 03 00 10 10 03 00 00 00 00 04 00 00 00 04 00 00 00 05 00 00 00 01 00 00 00 01 00 01 B0 34 10 10 03 20 10 10 03 20 00 00 00 0C 00 00 00 0C 00 00 00 05 00 00 00 01 00 5C 94 01 5D 94 02 5E 94 03 5F 94 00 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5C 90 01 5D 90 02 5E 90 03 5F 90 00 53 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 54 40
281,00:13.128.596,0.08 us,,,NYET,,,96
282,00:13.128.944,0.12 us,,,OUT,15,DEV = 0F EP = 01,E1 8F A8
